case_id,tag,case_label,stage,operator_family,component,corrected_m,n,k,original_aic_query_s,actual_attention_token_count_min,actual_attention_token_count_max,first_prefill_req_count,first_decode_req_count,sum_prefill_fresh_tokens,sum_decode_kv_tokens,real_child_ms,real_gemm_kernel_ms,real_quant_kernel_ms,original_aic_ms,corrected_aic_gemm_ms,original_ratio_child_to_aic,corrected_ratio_child_to_aic,corrected_ratio_gemm_to_aic,child_minus_corrected_aic_ms,gemm_minus_corrected_aic_ms,corrected_shape_exact_in_gemm_perf,nearest_sampled_m_same_nk
C05,agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,"C05
P1x2048+0
D16x2048",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,2064,2112,7168,8193.0,2064,2064,4,1,8191,2048,0.11061866666666666,0.05957333333333333,0.02032,0.2456665218445669,0.08029354277136495,0.4502797769761036,1.3776782397266014,0.7419442619809141,0.030325123895301703,-0.02072020943803162,False,
C05,agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,"C05
P1x2048+0
D16x2048",prefill,q_b_proj,q_b_proj,2064,24576,1536,8193.0,2064,2064,4,1,8191,2048,0.15358366666666667,0.12647450000000002,0.0049173333333333335,0.488321153861714,0.13615677080352415,0.31451364630040074,1.1279914010908039,0.9288888040867556,0.017426895863142527,-0.009682270803524129,False,
C05,agg_aic_p0_decode_heavy_b17_isl2048_ctx2048,"C05
P1x2048+0
D16x2048",prefill,o_proj,o_proj,2064,7168,16384,8193.0,2064,2064,4,1,8191,2048,0.37882066666666664,0.3361113333333334,0.04128,1.5220019002833094,0.39910734556858835,0.24889631648695837,0.9491698683896176,0.8421577228915501,-0.020286678901921706,-0.06299601223525497,False,"2049,2048,2304,2305"
C06,agg_aic_p0_chunk_b9_isl8192_ctx8192,"C06
P1x8192+0
D8x8192",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,8192,2112,7168,8193.0,8192,8192,1,1,8191,8192,0.28816533333333333,0.1989226666666667,0.07429866666666667,0.2456665218445669,0.2456398527120191,1.1729939072270312,1.1731212592411453,0.8098143052539514,0.04252548062131423,-0.04671718604535241,False,
C06,agg_aic_p0_chunk_b9_isl8192_ctx8192,"C06
P1x8192+0
D8x8192",prefill,q_b_proj,q_b_proj,8192,24576,1536,8193.0,8192,8192,1,1,8191,8192,0.45266133333333336,0.4333120000000001,0.016255999999999996,0.488321153861714,0.488262538037269,0.9269746554160564,0.9270859385464092,0.8874569852150432,-0.03560120470393563,-0.0549505380372689,False,
C06,agg_aic_p0_chunk_b9_isl8192_ctx8192,"C06
P1x8192+0
D8x8192",prefill,o_proj,o_proj,8192,7168,16384,8193.0,8192,8192,1,1,8191,8192,1.2871093333333334,1.124784,0.16064533333333333,1.5220019002833094,1.5217955907185872,0.8456686769535225,0.8457833241096226,0.7391163483847922,-0.23468625738525373,-0.39701159071858716,True,"8192,4353,4352,4097"
C07,agg_aic_p0_dense_b36_isl1024_ctx4096,"C07
P4x1024+0
D32x1024",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,4128,2112,7168,8193.0,4128,4128,8,1,8191,1024,0.18251699999999996,0.104325,0.03893333333333334,0.2456665218445669,0.1399959639832072,0.7429461638874767,1.3037304419854077,0.7452000545709588,0.042521036016792746,-0.03567096398320721,False,
C07,agg_aic_p0_dense_b36_isl1024_ctx4096,"C07
P4x1024+0
D32x1024",prefill,q_b_proj,q_b_proj,4128,24576,1536,8193.0,4128,4128,8,1,8191,1024,0.2611355,0.22956216666666665,0.007829333333333332,0.488321153861714,0.26193670705237726,0.5347618016031107,0.996941218886832,0.8764031939241073,-0.0008012070523772397,-0.03237454038571061,False,
C07,agg_aic_p0_dense_b36_isl1024_ctx4096,"C07
P4x1024+0
D32x1024",prefill,o_proj,o_proj,4128,7168,16384,8193.0,4128,4128,8,1,8191,1024,0.7147563333333333,0.6318230000000001,0.081328,1.5220019002833094,0.7981410248866527,0.4696159270236698,0.8955263682064692,0.7916182482785269,-0.0833846915533194,-0.1663180248866526,False,"4097,4096,4352,4353"
C08,agg_aic_p0_dense_prefill_b40_isl512_ctx4096,"C08
P8x512+0
D32x512",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,4128,2112,7168,8197.0,4128,4128,16,5,8187,2560,0.177392,0.10380800000000001,0.039072,0.2457731983747579,0.1399959639832072,0.7217711336022513,1.2671222437618166,0.7415070909647937,0.03739603601679278,-0.0361879639832072,False,
C08,agg_aic_p0_dense_prefill_b40_isl512_ctx4096,"C08
P8x512+0
D32x512",prefill,q_b_proj,q_b_proj,4128,24576,1536,8197.0,4128,4128,16,5,8187,2560,0.2574985,0.22839983333333336,0.007840000000000001,0.4885556171594943,0.26193670705237726,0.527060770475057,0.9830561852047344,0.8719657351715205,-0.004438207052377241,-0.0335368737190439,False,
C08,agg_aic_p0_dense_prefill_b40_isl512_ctx4096,"C08
P8x512+0
D32x512",prefill,o_proj,o_proj,4128,7168,16384,8197.0,4128,4128,16,5,8187,2560,0.7137226666666666,0.6305120000000001,0.08145066666666667,1.5228271385421976,0.7981410248866527,0.4686826551764196,0.8942312754416117,0.7899756814148748,-0.08441835821998611,-0.16762902488665266,False,"4097,4096,4352,4353"
C09,agg_aic_p0_longctx_b8_isl4096_ctx8192,"C09
P2x4096+0
D6x4096",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,8192,2112,7168,8194.0,8192,8192,2,2,8190,8192,0.29103949999999995,0.19751966666666668,0.0736265,0.2456931909771146,0.2456398527120191,1.18456477708049,1.1848219936086921,0.8041026913423243,0.04539964728798085,-0.048120186045352425,False,
C09,agg_aic_p0_longctx_b8_isl4096_ctx8192,"C09
P2x4096+0
D6x4096",prefill,q_b_proj,q_b_proj,8192,24576,1536,8194.0,8192,8192,2,2,8190,8192,0.46641,0.42966333333333334,0.016154666666666664,0.4883797696861591,0.488262538037269,0.955014988232872,0.9552442869667773,0.8799842295100208,-0.021852538037268998,-0.05859920470393565,False,
C09,agg_aic_p0_longctx_b8_isl4096_ctx8192,"C09
P2x4096+0
D6x4096",prefill,o_proj,o_proj,8192,7168,16384,8194.0,8192,8192,2,2,8190,8192,1.2691024999999998,1.1072145,0.16003733333333334,1.5222082098480314,1.5217955907185872,0.8337246454127979,0.8339507012244224,0.7275711053132811,-0.25269309071858737,-0.4145810907185872,True,"8192,4353,4352,4097"
C10,agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,"C10
P4x512+512
D8x1024",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,2056,2112,7168,5123.0,2056,2056,5,3,5120,3072,0.120832,0.05980266666666667,0.020410666666666664,0.168680811285482,0.08050651499912763,0.7163351840625143,1.5008971634321686,0.7428301506693551,0.040325485000872366,-0.02070384833246096,False,
C10,agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,"C10
P4x512+512
D8x1024",prefill,q_b_proj,q_b_proj,2056,24576,1536,5123.0,2056,2056,5,3,5120,3072,0.15446916666666666,0.12606383333333335,0.004837333333333333,0.3192687399264973,0.13609792500386772,0.4838217694041354,1.134985464784102,0.9262730003396509,0.018371241662798937,-0.010034091670534373,False,
C10,agg_aic_prefix_probe_b12_isl1024_prefix512_ctx4096,"C10
P4x512+512
D8x1024",prefill,o_proj,o_proj,2056,7168,16384,5123.0,2056,2056,5,3,5120,3072,0.37605316666666666,0.3331998333333333,0.04134933333333333,0.9646710238233565,0.3987485828482767,0.3898252952350798,0.9430833935020012,0.8356138370530972,-0.02269541618161003,-0.06554874951494338,False,"2049,2048,2304,2305"
C11,agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,"C11
P8x256+1024
D16x1280",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,2064,2112,7168,8961.0,2064,2064,7,1,8191,1280,0.10857566666666667,0.059749166666666666,0.020517333333333335,0.2661484156412563,0.08029354277136495,0.40795157996738457,1.3522341015121824,0.7441341433495071,0.028282123895301714,-0.020544376104698288,False,
C11,agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,"C11
P8x256+1024
D16x1280",prefill,q_b_proj,q_b_proj,2064,24576,1536,8961.0,2064,2064,7,1,8191,1280,0.15446916666666666,0.12665049999999997,0.004906666666666667,0.5333381070355198,0.13615677080352415,0.28962709513719254,1.1344949337081995,0.9301814316877283,0.01831239586314251,-0.009506270803524175,False,
C11,agg_aic_prefix_probe_b24_isl1280_prefix1024_ctx10240,"C11
P8x256+1024
D16x1280",prefill,o_proj,o_proj,2064,7168,16384,8961.0,2064,2064,7,1,8191,1280,0.37752483333333325,0.3341328333333333,0.04143466666666667,1.6804476459898676,0.39910734556858835,0.22465730142455717,0.9459230393153812,0.8372004099731889,-0.02158251223525509,-0.06497451223525502,False,"2049,2048,2304,2305"
C12,agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,"C12
P2x2048+2048
D10x4096",prefill,qkv_a_proj,fused_qkv_a_proj_with_mqa,4106,2112,7168,8193.0,4106,4106,2,1,8191,4096,0.17454399999999995,0.10641066666666665,0.03861333333333333,0.2456665218445669,0.14072053572610804,0.710491599300754,1.2403591210008207,0.7561843487703847,0.03382346427389191,-0.03430986905944139,False,
C12,agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,"C12
P2x2048+2048
D10x4096",prefill,q_b_proj,q_b_proj,4106,24576,1536,8193.0,4106,4106,2,1,8191,4096,0.2565226666666667,0.228384,0.007456,0.488321153861714,0.26241017671238226,0.5253154909183199,0.9775637129646513,0.8703320993923301,-0.005887510045715583,-0.034026176712382256,False,
C12,agg_aic_prefix_probe_b12_isl4096_prefix2048_ctx8192,"C12
P2x2048+2048
D10x4096",prefill,o_proj,o_proj,4106,7168,16384,8193.0,4106,4106,2,1,8191,4096,0.7117006666666666,0.629962,0.08033599999999999,1.5220019002833094,0.7923666922874699,0.46760826417771806,0.8981960922815547,0.7950384665733152,-0.08066602562080327,-0.1624046922874699,False,"4097,4096,4352,4353"
