Name	Start	Duration	TID	Category
munmap	1.44246s	1.468 μs	592	-
mmap64	1.44247s	3.124 μs	592	-
munmap	1.44247s	1.171 μs	592	-
mmap64	1.44247s	1.550 μs	592	-
munmap	1.44248s	1.152 μs	592	-
mmap64	1.44248s	1.188 μs	592	-
munmap	1.44248s	1.102 μs	592	-
mmap64	1.44248s	1.337 μs	592	-
munmap	1.44248s	1.154 μs	592	-
mmap64	1.44252s	1.454 μs	592	-
munmap	1.44253s	1.188 μs	592	-
munmap	1.44253s	1.016 μs	592	-
mmap64	1.44254s	1.056 μs	592	-
munmap	1.44254s	1.134 μs	592	-
mmap64	1.44254s	1.180 μs	592	-
munmap	1.44255s	1.118 μs	592	-
munmap	1.44256s	1.226 μs	592	-
mmap64	1.44256s	1.058 μs	592	-
munmap	1.44256s	1.217 μs	592	-
mmap64	1.44257s	1.246 μs	592	-
munmap	1.44257s	1.061 μs	592	-
munmap	1.44258s	1.126 μs	592	-
munmap	1.44258s	1.238 μs	592	-
munmap	1.44258s	1.047 μs	592	-
mmap64	1.44258s	1.123 μs	592	-
munmap	1.44259s	1.046 μs	592	-
mmap64	1.44259s	1.087 μs	592	-
munmap	1.4426s	1.084 μs	592	-
mmap64	1.4426s	1.033 μs	592	-
munmap	1.44261s	1.318 μs	592	-
mmap64	1.44261s	1.058 μs	592	-
munmap	1.44261s	1.202 μs	592	-
munmap	1.44261s	1.109 μs	592	-
munmap	1.44262s	1.069 μs	592	-
munmap	1.44262s	1.098 μs	592	-
mmap64	1.44262s	1.010 μs	592	-
munmap	1.44263s	1.112 μs	592	-
munmap	1.44263s	1.107 μs	592	-
mmap64	1.44264s	1.812 μs	592	-
munmap	1.44264s	1.048 μs	592	-
mmap64	1.44264s	1.020 μs	592	-
munmap	1.44264s	1.072 μs	592	-
mmap64	1.44264s	1.003 μs	592	-
munmap	1.44265s	1.034 μs	592	-
mmap64	1.44265s	1.151 μs	592	-
munmap	1.44265s	1.195 μs	592	-
munmap	1.44265s	1.016 μs	592	-
mmap64	1.44265s	1.004 μs	592	-
munmap	1.44266s	1.033 μs	592	-
mmap64	1.44266s	1.054 μs	592	-
munmap	1.44267s	1.080 μs	592	-
mmap64	1.44267s	1.018 μs	592	-
munmap	1.44267s	1.125 μs	592	-
mmap64	1.44267s	1.466 μs	592	-
munmap	1.44268s	1.052 μs	592	-
munmap	1.44268s	1.020 μs	592	-
mmap64	1.44268s	1.025 μs	592	-
munmap	1.44268s	1.083 μs	592	-
munmap	1.44269s	1.018 μs	592	-
mmap64	1.44269s	1.042 μs	592	-
munmap	1.44269s	1.041 μs	592	-
munmap	1.4427s	1.041 μs	592	-
munmap	1.44271s	1.074 μs	592	-
munmap	1.44272s	1.092 μs	592	-
mmap64	1.44272s	1.194 μs	592	-
munmap	1.44272s	1.221 μs	592	-
munmap	1.44273s	1.069 μs	592	-
munmap	1.44273s	1.057 μs	592	-
munmap	1.44274s	1.120 μs	592	-
mmap64	1.44274s	1.105 μs	592	-
munmap	1.44274s	1.172 μs	592	-
mmap64	1.44274s	1.021 μs	592	-
munmap	1.44276s	1.429 μs	592	-
mmap64	1.44276s	1.196 μs	592	-
munmap	1.44276s	1.132 μs	592	-
mmap64	1.44277s	1.145 μs	592	-
munmap	1.44277s	1.027 μs	592	-
munmap	1.44277s	1.049 μs	592	-
munmap	1.44278s	1.012 μs	592	-
munmap	1.44278s	1.017 μs	592	-
munmap	1.44279s	1.042 μs	592	-
munmap	1.44279s	1.032 μs	592	-
munmap	1.4428s	1.047 μs	592	-
munmap	1.4428s	1.001 μs	592	-
munmap	1.44281s	1.007 μs	592	-
munmap	1.44281s	1.029 μs	592	-
munmap	1.44282s	1.010 μs	592	-
munmap	1.44282s	1.309 μs	592	-
munmap	1.44284s	1.161 μs	592	-
munmap	1.44285s	1.078 μs	592	-
munmap	1.44285s	1.072 μs	592	-
mmap64	1.44285s	1.697 μs	592	-
munmap	1.44286s	1.251 μs	592	-
mmap64	1.44286s	2.519 μs	592	-
munmap	1.44286s	1.149 μs	592	-
mmap64	1.44287s	1.247 μs	592	-
munmap	1.44287s	1.181 μs	592	-
mmap64	1.44287s	1.142 μs	592	-
munmap	1.44287s	1.108 μs	592	-
mmap64	1.44288s	1.222 μs	592	-
munmap	1.44288s	1.065 μs	592	-
mmap64	1.44288s	1.005 μs	592	-
munmap	1.44289s	1.072 μs	592	-
munmap	1.44289s	1.098 μs	592	-
munmap	1.44289s	1.003 μs	592	-
munmap	1.44291s	5.411 μs	592	-
mmap64	1.44291s	1.059 μs	592	-
munmap	1.44292s	3.860 μs	592	-
munmap	1.44293s	9.147 μs	592	-
mmap64	1.44294s	1.178 μs	592	-
munmap	1.44294s	1.370 μs	592	-
munmap	1.44295s	1.291 μs	592	-
munmap	1.44296s	1.369 μs	592	-
mmap64	1.44296s	1.155 μs	592	-
munmap	1.44297s	1.195 μs	592	-
mmap64	1.44297s	1.051 μs	592	-
munmap	1.44297s	1.065 μs	592	-
mmap64	1.44297s	1.107 μs	592	-
munmap	1.44298s	1.122 μs	592	-
munmap	1.44298s	1.272 μs	592	-
mmap64	1.44298s	1.025 μs	592	-
munmap	1.44298s	1.242 μs	592	-
mmap64	1.44299s	1.063 μs	592	-
munmap	1.443s	1.237 μs	592	-
mmap64	1.44301s	1.099 μs	592	-
munmap	1.44301s	1.053 μs	592	-
mmap64	1.44301s	1.162 μs	592	-
munmap	1.44302s	1.185 μs	592	-
munmap	1.44302s	1.149 μs	592	-
mmap64	1.44303s	1.736 μs	592	-
munmap	1.44303s	1.114 μs	592	-
stat64	1.44541s	21.078 μs	592	-
open64	1.44557s	50.994 μs	592	-
fstat64	1.44563s	5.682 μs	592	-
write	1.44569s	44.605 μs	592	-
close	1.44574s	7.036 μs	592	-
sigaction	1.44628s	2.018 μs	592	-
pthread_create	1.44645s	143.905 μs	592	-
pthread_join	1.4466s	2.281 ms	592	-
sigaction	1.44896s	1.448 μs	592	-
stat64	1.45007s	19.264 μs	592	-
open64	1.45022s	50.382 μs	592	-
fstat64	1.45028s	4.943 μs	592	-
write	1.45033s	67.536 μs	592	-
close	1.45041s	6.331 μs	592	-
sigaction	1.45121s	1.509 μs	592	-
pthread_create	1.45131s	114.850 μs	592	-
pthread_join	1.45143s	9.385 ms	592	-
stat64	1.46232s	16.231 μs	592	-
open64	1.46246s	44.057 μs	592	-
fstat64	1.4625s	4.867 μs	592	-
write	1.46255s	33.307 μs	592	-
close	1.46259s	5.344 μs	592	-
sigaction	1.46314s	1.415 μs	592	-
pthread_create	1.46324s	131.641 μs	592	-
pthread_join	1.46337s	7.118 ms	592	-
stat64	1.47688s	19.567 μs	592	-
open64	1.47703s	46.464 μs	592	-
fstat64	1.47708s	4.702 μs	592	-
write	1.47718s	32.546 μs	592	-
close	1.47722s	6.009 μs	592	-
stat64	1.48477s	19.242 μs	592	-
open64	1.48492s	44.917 μs	592	-
fstat64	1.48498s	4.908 μs	592	-
write	1.48503s	31.599 μs	592	-
close	1.48507s	6.543 μs	592	-
open64	1.48532s	66.480 μs	592	-
ioctl	1.48539s	1.209 μs	592	-
fstat64	1.48539s	2.720 μs	592	-
open64	1.48546s	40.635 μs	592	-
fstat64	1.4855s	2.146 μs	592	-
write	1.48559s	18.102 μs	592	-
posix_spawn	1.48595s	316.139 μs	592	-
waitpid	1.48632s	193.124 ms	592	-
stat64	1.67956s	16.983 μs	592	-
stat64	1.67963s	3.969 μs	592	-
open64	1.67967s	14.029 μs	592	-
fstat64	1.67969s	2.731 μs	592	-
fstat64	1.67972s	2.043 μs	592	-
read	1.67972s	11.124 μs	592	-
read	1.67975s	1.454 μs	592	-
close	1.67976s	5.436 μs	592	-
stat64	1.67977s	3.519 μs	592	-
close	1.67983s	16.762 μs	592	-
close	1.67986s	17.909 μs	592	-
stat64	1.68s	9.448 μs	592	-
open64	1.68012s	83.305 μs	592	-
fstat64	1.68021s	4.340 μs	592	-
write	1.68024s	30.623 μs	592	-
close	1.68027s	3.430 μs	592	-
stat64	1.68054s	5.096 μs	592	-
open64	1.68063s	33.281 μs	592	-
fstat64	1.68066s	3.938 μs	592	-
write	1.68071s	12.093 μs	592	-
close	1.68072s	2.994 μs	592	-
stat64	1.68087s	4.738 μs	592	-
open64	1.68093s	31.892 μs	592	-
fstat64	1.68097s	4.150 μs	592	-
write	1.681s	8.279 μs	592	-
close	1.68101s	2.722 μs	592	-
pthread_cond_broadcast	1.68111s	6.000 μs	592	-
pthread_join	1.68112s	551.314 μs	592	-
pthread_join	1.68168s	20.112 μs	592	-
open64	1.68181s	9.164 μs	592	-
fstat64	1.68182s	3.644 μs	592	-
fstat64	1.68185s	3.292 μs	592	-
read	1.68186s	7.498 μs	592	-
read	1.68187s	1.320 μs	592	-
close	1.68189s	2.867 μs	592	-
open64	1.68279s	10.120 μs	592	-
fstat64	1.6828s	3.792 μs	592	-
fstat64	1.68283s	3.361 μs	592	-
read	1.68283s	12.004 μs	592	-
read	1.68285s	1.396 μs	592	-
close	1.68287s	3.151 μs	592	-
open64	1.68291s	6.847 μs	592	-
fstat64	1.68292s	3.273 μs	592	-
fstat64	1.68294s	3.224 μs	592	-
read	1.68294s	7.202 μs	592	-
read	1.68295s	1.166 μs	592	-
close	1.68296s	2.140 μs	592	-
open64	1.68298s	6.474 μs	592	-
fstat64	1.68299s	3.293 μs	592	-
fstat64	1.683s	3.236 μs	592	-
read	1.68301s	6.084 μs	592	-
read	1.68301s	1.150 μs	592	-
close	1.68302s	2.014 μs	592	-
open64	1.68304s	6.272 μs	592	-
fstat64	1.68305s	3.158 μs	592	-
fstat64	1.68307s	3.180 μs	592	-
read	1.68307s	4.880 μs	592	-
read	1.68308s	1.143 μs	592	-
close	1.68308s	1.972 μs	592	-
open64	1.6831s	6.144 μs	592	-
fstat64	1.68311s	3.255 μs	592	-
fstat64	1.68312s	3.172 μs	592	-
read	1.68312s	5.294 μs	592	-
read	1.68313s	1.144 μs	592	-
close	1.68314s	1.947 μs	592	-
open64	1.68316s	5.822 μs	592	-
fstat64	1.68317s	3.284 μs	592	-
fstat64	1.68318s	3.166 μs	592	-
read	1.68319s	4.864 μs	592	-
read	1.68319s	1.226 μs	592	-
close	1.6832s	1.856 μs	592	-
stat64	1.68355s	6.567 μs	592	-
stat64	1.68358s	5.542 μs	592	-
stat64	1.6836s	6.951 μs	592	-
cuModuleLoadData	1.68375s	141.844 μs	592	-
Lazy Function Loading	1.68389s	76.133 μs	592	-
