tag,op_name,aic_latency_ms,aic_source,query_kind,database_file,lookup_method,axis_x,axis_y,axis_z,x,y,z,x_left,x_right,neighbor_latencies_json,quant_mode_lookup,y_left,y_right,z_left,z_right
decode_b4p512_cg_on,generation_bmm_pre,0.009644799679517747,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,
decode_b4p512_cg_on,generation_attention,0.029072477394947782,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,513,128,128,{},,4.0,4.0,512.0,1024.0
decode_b4p512_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.02906239926815033,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,4,512,128,128,{},,4.0,4.0,512.0,512.0
decode_b4p512_cg_on,generation_bmm_post,0.009667199850082398,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,
decode_b4p512_cg_on,generation_proj_gemm,0.024686222275098164,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,
decode_b4p512_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.0497573349210951,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,16384,4,4,"{""4"": 0.0497573349210951}",,,,,
decode_b32p512_cg_on,generation_downscale_gemm,0.013539231671417188,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,32,2112,7168,32,32,{},,,,,
decode_b32p512_cg_on,generation_q_b_proj_gemm,0.019430902074365056,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,32,24576,1536,32,32,"{""32"": 0.019430902074365056}",,,,,
decode_b32p512_cg_on,generation_bmm_pre,0.015324799716472626,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,32,128,1,32,32,"{""32"": 0.015324799716472626}",fp8,,,,
decode_b32p512_cg_on,generation_attention,0.07201384390937164,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,32,513,128,128,{},,32.0,32.0,512.0,1024.0
decode_b32p512_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.07193920016288757,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,32,512,128,128,{},,32.0,32.0,512.0,512.0
decode_b32p512_cg_on,generation_bmm_post,0.015337599813938141,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,32,128,0,32,32,"{""32"": 0.015337599813938141}",fp8,,,,
decode_b32p512_cg_on,generation_proj_gemm,0.024559110403060913,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,32,7168,7168,32,32,"{""32"": 0.024559110403060913}",,,,,
decode_b32p512_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.05567200316323174,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,32,7168,16384,32,32,"{""32"": 0.05567200316323174}",,,,,
decode_b4p2048_cg_on,generation_downscale_gemm,0.016420756338911404,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,
decode_b4p2048_cg_on,generation_q_b_proj_gemm,0.01981892840924606,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,
decode_b4p2048_cg_on,generation_bmm_pre,0.009644799679517747,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,
decode_b4p2048_cg_on,generation_attention,0.04444572587526636,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,2049,128,128,{},,4.0,4.0,2048.0,4096.0
decode_b4p2048_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.044435200095176694,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,4,2048,128,128,{},,4.0,4.0,2048.0,2048.0
decode_b4p2048_cg_on,generation_bmm_post,0.009667199850082398,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,
decode_b4p2048_cg_on,generation_proj_gemm,0.024686222275098164,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,
decode_b4p2048_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.0497573349210951,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,16384,4,4,"{""4"": 0.0497573349210951}",,,,,
decode_b16p2048_cg_on,generation_downscale_gemm,0.012792711337544525,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,16,2112,7168,16,16,{},,,,,
decode_b16p2048_cg_on,generation_q_b_proj_gemm,0.01959696694526797,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,16,24576,1536,16,16,"{""16"": 0.01959696694526797}",,,,,
decode_b16p2048_cg_on,generation_bmm_pre,0.011667200177907944,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,16,128,1,16,16,"{""16"": 0.011667200177907944}",fp8,,,,
decode_b16p2048_cg_on,generation_attention,0.10641641518450343,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,16,2049,128,128,{},,16.0,16.0,2048.0,4096.0
decode_b16p2048_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.10638079643249512,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,16,2048,128,128,{},,16.0,16.0,2048.0,2048.0
decode_b16p2048_cg_on,generation_bmm_post,0.011846400052309036,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,16,128,0,16,16,"{""16"": 0.011846400052309036}",fp8,,,,
decode_b16p2048_cg_on,generation_proj_gemm,0.024339555038346186,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,16,7168,7168,16,16,"{""16"": 0.024339555038346186}",,,,,
decode_b16p2048_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.04797688788837857,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,16,7168,16384,16,16,"{""16"": 0.04797688788837857}",,,,,
decode_b4p4096_cg_on,generation_downscale_gemm,0.016420756338911404,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,
decode_b4p4096_cg_on,generation_q_b_proj_gemm,0.01981892840924606,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,
decode_b4p4096_cg_on,generation_bmm_pre,0.009644799679517747,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,
decode_b4p4096_cg_on,generation_attention,0.0660012110020034,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,4097,128,128,{},,4.0,4.0,4096.0,8192.0
decode_b4p4096_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.06599199771881104,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,4,4096,128,128,{},,4.0,4.0,4096.0,4096.0
decode_b4p4096_cg_on,generation_bmm_post,0.009667199850082398,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,
decode_b4p4096_cg_on,generation_proj_gemm,0.024686222275098164,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,
decode_b4p4096_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.0497573349210951,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,16384,4,4,"{""4"": 0.0497573349210951}",,,,,
decode_b8p4096_cg_on,generation_downscale_gemm,0.012985891592101177,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,8,2112,7168,8,8,{},,,,,
decode_b8p4096_cg_on,generation_q_b_proj_gemm,0.02166415702283772,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,8,24576,1536,8,8,"{""8"": 0.02166415702283772}",,,,,
decode_b8p4096_cg_on,generation_bmm_pre,0.010329599678516387,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,8,128,1,8,8,"{""8"": 0.010329599678516387}",fp8,,,,
decode_b8p4096_cg_on,generation_attention,0.1044897409126861,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,8,4097,128,128,{},,8.0,8.0,4096.0,8192.0
decode_b8p4096_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.10447200536727905,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,8,4096,128,128,{},,8.0,8.0,4096.0,4096.0
decode_b8p4096_cg_on,generation_bmm_post,0.010147199779748917,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,8,128,0,8,8,"{""8"": 0.010147199779748917}",fp8,,,,
decode_b8p4096_cg_on,generation_proj_gemm,0.02404088940885332,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,8,7168,7168,8,8,"{""8"": 0.02404088940885332}",,,,,
decode_b8p4096_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.04823377728462219,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,8,7168,16384,8,8,"{""8"": 0.04823377728462219}",,,,,
decode_b4p8192_cg_on,generation_downscale_gemm,0.016420756338911404,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,4,2112,7168,4,4,{},,,,,
decode_b4p8192_cg_on,generation_q_b_proj_gemm,0.01981892840924606,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,24576,1536,4,4,"{""4"": 0.01981892840924606}",,,,,
decode_b4p8192_cg_on,generation_bmm_pre,0.009644799679517747,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,1,4,4,"{""4"": 0.009644799679517747}",fp8,,,,
decode_b4p8192_cg_on,generation_attention,0.1037387394637335,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,4,8193,128,128,{},,4.0,4.0,8192.0,16384.0
decode_b4p8192_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.10372960567474365,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,4,8192,128,128,{},,4.0,4.0,8192.0,8192.0
decode_b4p8192_cg_on,generation_bmm_post,0.009667199850082398,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,4,128,0,4,4,"{""4"": 0.009667199850082398}",fp8,,,,
decode_b4p8192_cg_on,generation_proj_gemm,0.024686222275098164,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,7168,4,4,"{""4"": 0.024686222275098164}",,,,,
decode_b4p8192_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.0497573349210951,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,4,7168,16384,4,4,"{""4"": 0.0497573349210951}",,,,,
decode_b2p16384_cg_on,generation_downscale_gemm,0.01695322932714086,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,3d_cubic_exact,m,n,k,2,2112,7168,2,2,{},,,,,
decode_b2p16384_cg_on,generation_q_b_proj_gemm,0.0188813598619567,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,2,24576,1536,2,2,"{""2"": 0.0188813598619567}",,,,,
decode_b2p16384_cg_on,generation_bmm_pre,0.009440000355243682,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,2,128,1,2,2,"{""2"": 0.009440000355243682}",fp8,,,,
decode_b2p16384_cg_on,generation_attention,0.10485408038148306,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,3d_bilinear_h:exact_b:exact_s:interpolate,num_heads,batch_size,s,128,2,16385,128,128,{},,2.0,2.0,16384.0,32768.0
decode_b2p16384_cg_on,generation_attention__diagnostic_s_eq_kv_len,0.10484960079193115,silicon,generation_mla,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/generation_mla_perf.txt,exact,num_heads,batch_size,s,128,2,16384,128,128,{},,2.0,2.0,16384.0,16384.0
decode_b2p16384_cg_on,generation_bmm_post,0.00942080020904541,silicon,mla_bmm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/mla_bmm_perf.txt,1d_tokens_exact,num_tokens,num_heads,if_pre,2,128,0,2,2,"{""2"": 0.00942080020904541}",fp8,,,,
decode_b2p16384_cg_on,generation_proj_gemm,0.023918223049905565,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,2,7168,7168,2,2,"{""2"": 0.023918223049905565}",,,,,
decode_b2p16384_cg_on,generation_proj_gemm__diagnostic_correct_shape,0.048206223381890186,silicon,gemm,src/aiconfigurator/systems/data/h100_sxm/sglang/0.5.9/gemm_perf.txt,exact,m,n,k,2,7168,16384,2,2,"{""2"": 0.048206223381890186}",,,,,
